id,nama,email,no_hp,tanggal_daftar,status
1,Budi Santoso,budi.santoso@gmail.com,08123456789,15/05/2025,active
2,siti aminah,siti.aminah@yahoo.com,08219876543,2025-06-01,Active
3,Rizky Pratama,rizky.p@gmail.com,08131122334,12-04-25,aktive
4,dewi LESTARI,dewi.lestari@hotmail.com,08574455667,22/07/2025,inactive
5,Budi Santoso,budi.santoso@gmail.com,08123456789,15/05/2025,INACTIVE
6,ANTON WIJAYA,anton.w@gmail.com,08998877665,2025-08-10,banned
7,Mega Utami,mega.u@yahoo.com,08112233445,05-09-25,active
8,adi nugroho,adi.nugroho@gmail.com,08156677889,19/10/2025,Active
9,Rina Marlina,rina.m@hotmail.com,08189900112,2025-11-12,inactive
10,Siti Aminah,siti.aminah@yahoo.com,08219876543,2025-06-01,active
